"white = object name
yellow = flags
2MASS J04300724+2608207,KPNO Tau 6,,,,BD,67.5292,26.1392,Taurus,II,1.5,,2,116.0590973,2.667,1.193,-21.925,0.86,,,0.68,0.85,,,Zhang 2018,20.56,,14.99,0.03,14.2,0.04,13.69,0.04,,,Mohanty 2005,Keck I/HIRES,2002/2003,4,,,M8.5,0.5,"2,550.00",200,0.0250,,,,,,Line Strength,Ca II line flux,-77.5,7.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.6,0.16,,,,,,,,,,,,,,-0.20,0.10,2.19E+04,4.34,,,,,,,,1.00E-11,,Mohanty 2005,"Allard 2001, Baraffe 1998",disk classification from LUHMAN ET AL. JAN 2010 Accretion rate equation 3
2MASS J04300724+2608207,KPNO Tau 6,,,,BD,67.5292,26.1392,Taurus,II,1.5,,2,116.0590973,2.667,1.193,-21.925,0.86,,,0.68,0.85,,,Zhang 2018,20.56,,14.99,0.03,14.2,0.04,13.69,0.04,,,Mohanty 2005,Keck I/HIRES,2002/2003,4,,,M8.5,0.5,"2,550.00",200,0.0250,,,,,,Line Strength,Ca II line flux,-77.5,7.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.6,0.16,,,,,,,,,,,,,,-0.20,0.10,2.19E+04,4.34,,,,,,,,1.58E-11,,Mohanty 2005,"Allard 2001, Baraffe 1998",disk classification from LUHMAN ET AL. JAN 2010 Accretion rate equation 1
ISO-Oph 033,ISO-Oph 033,,,,BD,246.592788,-24.401962,p Oph,II,1,,,,,,,,,,8,,2.67,,Comeron 2010,,,16.45,0.136,15.086,0.075,13.94,0.045,,,Comeron 2010,VLT/FORS1,2003,3.5,119.0,6,M6.5,1.5,"2,700.00",100,0.0286,,,,0.32,,Line Strength,Ca II line flux,220,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.60E+00,5.00E-01,1.02E+06,,,,,,,,,9.50E-10,,Mohanty 2005,Allard 2001,
2MASS J04305718+2556394,KPNO Tau 7,,,,BD,67.7375,25.9444,Taurus,II,1.5,,2,122.8214545,5.424,0.886,-23.019,0.596,,,0.93,0.85,,,Zhang 2018,,,14.52,0.03,13.828,0.027,13.27,0.03,,,Mohanty 2005,Keck I/HIRES,2002/2003,4,,,M8.25,0.5,"2,650.00",200,0.0300,,,,,,Line Strength,Ca II line flux,-122,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9,0.1,,,,,,,,,,,,,,-0.10,0.10,1.51E+04,4.18,,,,,,,,6.31E-12,,Mohanty 2005,"Allard 2001, Baraffe 1998",disk classification from LUHMAN ET AL. JAN 2010 Accretion rate equation 3
2MASS J04305718+2556394,KPNO Tau 7,,,,BD,67.7375,25.9444,Taurus,II,1.5,,2,122.8214545,5.424,0.886,-23.019,0.596,,,0.93,0.85,,,Zhang 2018,,,14.52,0.03,13.828,0.027,13.27,0.03,,,Mohanty 2005,Keck I/HIRES,2002/2003,4,,,M8.25,0.5,"2,650.00",200,0.0300,,,,,,Line Strength,Ca II line flux,-122,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9,0.1,,,,,,,,,,,,,,-0.10,0.10,1.51E+04,4.18,,,,,,,,1.00E-11,,Mohanty 2005,"Allard 2001, Baraffe 1998",disk classification from LUHMAN ET AL. JAN 2010 Accretion rate equation 1
2MASS J12073346-3932539,2MASS 1207-3932,,,UPP,BD,181.8875,-39.5483,TW HyA,U,8,,2,64.41555765,-64.083,0.233,-23.72,0.13,7.5,2,0,,,,Herczeg 2008,17.99,0.07,12.995,0.026,12.388,0.027,11.945,0.026,,,Mohanty 2005,Magellan II/MIKE,2002/2003,4,,,M8.0,0.5,"2,700.00",200,0.0350,,,,,,Line Strength,Ca II line flux,-2.77E+01,2.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8,0.1,,,,,,,,,,,,,,,,1.58E+04,4.20,,,,,,,,7.94E-12,,Mohanty 2005,"Allard 2001, Baraffe 1998",Accretion rate equation 3
2MASS J12073346-3932539,2MASS 1207-3932,,,UPP,BD,181.8875,-39.5483,TW HyA,U,8,,2,64.41555765,-64.083,0.233,-23.72,0.13,7.5,2,0,,,,Herczeg 2008,17.99,0.07,12.995,0.026,12.388,0.027,11.945,0.026,,,Mohanty 2005,Magellan II/MIKE,2002/2003,4,,,M8.0,0.5,"2,700.00",200,0.0350,,,,,,Line Strength,Ca II line flux,-2.77E+01,2.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8,0.1,,,,,,,,,,,,,,,,1.58E+04,4.20,,,,,,,,1.26E-11,,Mohanty 2005,"Allard 2001, Baraffe 1998",Accretion rate equation 1
DENIS J160603.9-205644,USco DENIS 160603,,,UPP,BD,241.5167,-20.9456,TW HyA,U,11,,2,137.1497538,-13.191,0.547,-21.976,0.274,,,0,,,,Herczeg 2008,,,13.528,0.03,12.906,0.023,12.475,0.027,,,Mohanty 2005,Magellan II/MIKE,2002/2003,4,,,M7.5,0.5,"2,800.00",200,0.0400,,,,,,Line Strength,Ca II line flux,-70,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.09E+04,4.32,,,,,,,,1.00E-11,,Mohanty 2005,"Allard 2001, Baraffe 1998",Accretion rate equation 3
DENIS J160603.9-205644,USco DENIS 160603,,,UPP,BD,241.5167,-20.9456,TW HyA,U,11,,2,137.1497538,-13.191,0.547,-21.976,0.274,,,0,,,,Herczeg 2008,,,13.528,0.03,12.906,0.023,12.475,0.027,,,Mohanty 2005,Magellan II/MIKE,2002/2003,4,,,M7.5,0.5,"2,800.00",200,0.0400,,,,,,Line Strength,Ca II line flux,-70,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.09E+04,4.32,,,,,,,,1.58E-11,,Mohanty 2005,"Allard 2001, Baraffe 1998",Accretion rate equation 1
Cl* IC 348 LRL 291,IC348 291,,,UPP,BD,56.1417,32.1158,IC348,U,2,,2,234.9403252,5.071,0.894,-7.546,0.56,,,1.06,,,,Flaherty 2013,19.47,,14.02,,,,,,,,Mohanty 2005,Keck I/HIRES,2002/2003,4,,,M7.25,0.5,"2,850.00",200,0.0500,,,,,,Line Strength,Ca II line flux,-32.4,3.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.29E+04,4.36,,,,,,,,1.00E-11,,Mohanty 2005,"Allard 2001, Baraffe 1998",Accretion rate equation 3
Cl* IC 348 LRL 291,IC348 291,,,UPP,BD,56.1417,32.1158,IC348,U,2,,2,234.9403252,5.071,0.894,-7.546,0.56,,,1.06,,,,Flaherty 2013,19.47,,14.02,,,,,,,,Mohanty 2005,Keck I/HIRES,2002/2003,4,,,M7.25,0.5,"2,850.00",200,0.0500,,,,,,Line Strength,Ca II line flux,-32.4,3.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.29E+04,4.36,,,,,,,,1.58E-11,,Mohanty 2005,"Allard 2001, Baraffe 1998",Accretion rate equation 1
2MASS J04394748+2601407,CFHT-BD-Tau 4,,,,BD,69.9458,26.0281,Taurus,II,1.5,,2,147.1323897,6.628,0.483,-21.865,0.309,16.687,,6.37,0.85,,,Zhang 2018,,,12.168,0.023,11.008,0.021,10.332,0.018,,,Mohanty 2005,Keck I/HIRES,2002/2003,4,,,M7.0,0.5,"2,900.00",200,0.0600,,,,,,Line Strength,Ca II line flux,-79,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.10,0.10,2.51E+04,4.40,,,,,,,,1.26E-11,,Mohanty 2005,"Allard 2001, Baraffe 1998",disk classification from LUHMAN ET AL. JAN 2010 Accretion rate equation 3
2MASS J04394748+2601407,CFHT-BD-Tau 4,,,,BD,69.9458,26.0281,Taurus,II,1.5,,2,147.1323897,6.628,0.483,-21.865,0.309,16.687,,6.37,0.85,,,Zhang 2018,,,12.168,0.023,11.008,0.021,10.332,0.018,,,Mohanty 2005,Keck I/HIRES,2002/2003,4,,,M7.0,0.5,"2,900.00",200,0.0600,,,,,,Line Strength,Ca II line flux,-79,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.10,0.10,2.51E+04,4.40,,,,,,,,2.00E-11,,Mohanty 2005,"Allard 2001, Baraffe 1998",disk classification from LUHMAN ET AL. JAN 2010 Accretion rate equation 1
2MASS J16273863-2438391,GY 310,,,UPP,BD,246.9125,-24.6442,p Oph,III,1,,2,142.6635281,-6.904,1.086,-24.646,0.719,,,6,,,,Natta 2002,,,13.271,0.026,11.932,0.024,11.076,0.025,,,Mohanty 2005,Keck I/HIRES,2002/2003,4,,,M7.0,0.5,"2,900.00",200,0.0600,,,,,,Line Strength,Ca II line flux,-17.2,1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.20,0.10,5.01E+04,4.70,,,,,,,,2.51E-11,,Mohanty 2005,"Allard 2001, Baraffe 1998",disk classification from Luhman 1999 Accretion rate equation 3
2MASS J16273863-2438391,GY 310,,,,BD,246.9125,-24.6442,p Oph,III,1,,2,142.6635281,-6.904,1.086,-24.646,0.719,,,6,,,,Natta 2002,,,13.271,0.026,11.932,0.024,11.076,0.025,,,Mohanty 2005,Keck I/HIRES,2002/2003,4,,,M7.0,0.5,"2,900.00",200,0.0600,,,,,,Line Strength,Ca II line flux,-17.2,1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.20,0.10,5.01E+04,4.70,,,,,,,,3.98E-11,,Mohanty 2005,"Allard 2001, Baraffe 1998",disk classification from Luhman 1999 Accretion rate equation 1
Cl* IC 348 LRL 415,IC348 415,,,,BD,56.125,32.1611,IC348,II,2,,2,417.9553624,3.938,1.984,-6.118,1.302,,,1.35,,,,Muzerolle 2003,,,15.218,0.038,14.371,0.047,13.748,0.039,,,Mohanty 2005,Keck I/HIRES,2002/2003,4,,,M6.5,0.5,"2,950.00",200,0.0700,,,,,,Line Strength,Ca II line flux,-80,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.70,0.17,4.79E+05,5.68,,,,,,,,1.58E-10,,Mohanty 2005,"Allard 2001, Baraffe 1998",disk classification from Ruiz-Rodrigues 2018 Accretion rate equation 3
Cl* IC 348 LRL 415,IC348 415,,,,BD,56.125,32.1611,IC348,II,2,,2,417.9553624,3.938,1.984,-6.118,1.302,,,1.35,,,,Muzerolle 2003,,,15.218,0.038,14.371,0.047,13.748,0.039,,,Mohanty 2005,Keck I/HIRES,2002/2003,4,,,M6.5,0.5,"2,950.00",200,0.0700,,,,,,Line Strength,Ca II line flux,-80,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.70,0.17,4.79E+05,5.68,,,,,,,,3.98E-10,,Mohanty 2005,"Allard 2001, Baraffe 1998",disk classification from Ruiz-Rodrigues 2018 Accretion rate equation 1
2MASS J04262939+2624137,KPNO Tau 3,,,,S,66.6208,26.4039,Taurus,II,1.5,,2,155.8797855,10.898,0.364,-17.854,0.289,17.55,0.263,0.82,0.85,,,Zhang 2018,,,13.323,0.022,12.501,0.022,12.079,0.021,,,Mohanty 2005,Keck I/HIRES,2002/2003,4,,,M6.0,0.5,"3,000.00",200,0.0800,,,,,,Line Strength,Ca II line flux,-97.7,9.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.6,0.16,,,,,,,,,,,,,,-0.50,0.10,1.51E+05,5.18,,,,,,,,6.31E-11,,Mohanty 2005,"Allard 2001, Baraffe 1998",disk classification from LUHMAN ET AL. JAN 2010 Accretion rate equation 3
2MASS J04262939+2624137,KPNO Tau 3,,,,S,66.6208,26.4039,Taurus,II,1.5,,2,155.8797855,10.898,0.364,-17.854,0.289,17.55,0.263,0.82,0.85,,,Zhang 2018,,,13.323,0.022,12.501,0.022,12.079,0.021,,,Mohanty 2005,Keck I/HIRES,2002/2003,4,,,M6.0,0.5,"3,000.00",200,0.0800,,,,,,Line Strength,Ca II line flux,-97.7,9.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.6,0.16,,,,,,,,,,,,,,-0.50,0.10,1.51E+05,5.18,,,,,,,,1.26E-10,,Mohanty 2005,"Allard 2001, Baraffe 1998",disk classification from LUHMAN ET AL. JAN 2010 Accretion rate equation 1
2MASS J19013357-3700304,LS-RCrA 1,,,,S,285.389904,-37.00846541,R Coronae Australis,I,10,,2,147.5448536,4.467,0.71,-26.064,0.617,,,,,,,,,,15.178,0.052,14.526,0.061,13.972,0.053,,,Mohanty 2005,Magellan II/MIKE,2002/2003,4,,,M6.5,0.5,"2,950.00",200,0.0800,,,,,,Line Strength,Ca II line flux,-53,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.60,0.96,3.16E+06,6.50,,,,,,,,0.000000001,,Mohanty 2005,"Allard 2001, Baraffe 1998",SED class from Fernadez and Comeron 2001 Accretion rate equation 3
2MASS J19013357-3700304,LS-RCrA 1,,,,S,285.389904,-37.00846541,R Coronae Australis,I,10,,2,147.5448536,4.467,0.71,-26.064,0.617,,,,,,,,,,15.178,0.052,14.526,0.061,13.972,0.053,,,Mohanty 2005,Magellan II/MIKE,2002/2003,4,,,M6.5,0.5,"2,950.00",200,0.0800,,,,,,Line Strength,Ca II line flux,-53,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.60,0.96,3.16E+06,6.50,,,,,,,,3.16E-09,,Mohanty 2005,"Allard 2001, Baraffe 1998",SED class from Fernadez and Comeron 2001 Accretion rate equation 1
